timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,behavior_type
2025-01-01T03:43:54+00:00,192.0.2.103,198.51.100.124,6721,8333,synthetic_tx_00000001,"[""synthetic_wallet_000103""]","[""synthetic_wallet_001128"",""synthetic_wallet_001005"",""synthetic_wallet_000916"",""synthetic_wallet_000573""]",[1.70791374],"[0.42664359,0.42664359,0.42664359,0.4266436]",0.00133935,P2PKH,FR,64514,EXCHANGE_LIKE
2025-01-02T18:23:57+00:00,192.0.2.146,192.0.2.204,47949,8333,synthetic_tx_00000002,"[""synthetic_wallet_000896""]","[""synthetic_wallet_000954""]",[1.52494589],[1.52409961],0.00084626,P2TR,CA,64517,NORMAL
2025-01-03T00:14:11+00:00,192.0.2.164,198.51.100.136,28720,8333,synthetic_tx_00000003,"[""synthetic_wallet_002414""]","[""synthetic_wallet_001140""]",[1.90907805],[1.90883014],0.00024789,P2SH_P2WPKH,DE,64515,NORMAL
2025-01-04T03:22:36+00:00,203.0.113.121,198.51.100.165,23565,8333,synthetic_tx_00000004,"[""synthetic_wallet_001379""]","[""synthetic_wallet_000419""]",[0.98082189],[0.98027699],0.00054488,P2PKH,BR,64520,NORMAL
2025-01-05T20:05:57+00:00,203.0.113.189,192.0.2.51,59052,18444,synthetic_tx_00000005,"[""synthetic_wallet_002197""]","[""synthetic_wallet_001551"",""synthetic_wallet_000323""]",[0.76828679],"[0.38367005,0.38367005]",0.00094667,P2SH_P2WPKH,US,64518,EXCHANGE_LIKE
2025-01-06T03:40:38+00:00,192.0.2.188,192.0.2.185,55688,8333,synthetic_tx_00000006,"[""synthetic_wallet_000188""]","[""synthetic_wallet_000935"",""synthetic_wallet_001187"",""synthetic_wallet_000328"",""synthetic_wallet_000955""]",[0.98130925],"[0.24515591,0.24515591,0.24515591,0.24515592]",0.00068558,P2WPKH,CA,64519,EXCHANGE_LIKE
2025-01-07T22:10:40+00:00,198.51.100.90,198.51.100.39,17067,8333,synthetic_tx_00000007,"[""synthetic_wallet_001094""]","[""synthetic_wallet_000293""]",[1.60569681],[1.60489092],0.00080587,P2TR,DE,64515,NORMAL
2025-01-08T11:48:24+00:00,192.0.2.32,192.0.2.150,16034,443,synthetic_tx_00000008,"[""synthetic_wallet_002282""]","[""synthetic_wallet_000900""]",[2.1149872],[2.11382094],0.00116624,P2TR,DE,64513,NORMAL
2025-01-09T11:27:25+00:00,192.0.2.115,192.0.2.75,59002,443,synthetic_tx_00000009,"[""synthetic_wallet_000865""]","[""synthetic_wallet_002325""]",[0.57093503],[0.57018116],0.00075385,P2SH_P2WPKH,US,64516,NORMAL
2025-01-10T19:37:24+00:00,198.51.100.7,192.0.2.51,59863,8333,synthetic_tx_00000010,"[""synthetic_wallet_001011""]","[""synthetic_wallet_002301""]",[0.69371694],[0.69283589],0.00088103,P2WPKH,NL,64512,NORMAL
2025-01-11T17:58:06+00:00,203.0.113.59,203.0.113.81,8209,8333,synthetic_tx_00000011,"[""synthetic_wallet_000567""]","[""synthetic_wallet_002089""]",[0.27272806],[0.27264784],8.02e-05,P2SH_P2WPKH,NL,64518,NORMAL
2025-01-03T10:00:11+00:00,192.0.2.109,192.0.2.194,31698,8333,synthetic_tx_00000012,"[""synthetic_wallet_000109""]","[""synthetic_wallet_002444""]",[6.95657324],[6.95567535],0.00089787,P2PKH,US,64520,RAPID_TRANSFER
2025-01-13T10:41:09+00:00,198.51.100.216,203.0.113.193,63533,8333,synthetic_tx_00000013,"[""synthetic_wallet_000470""]","[""synthetic_wallet_002201"",""synthetic_wallet_001094"",""synthetic_wallet_001395"",""synthetic_wallet_000457""]",[1.11517486],"[0.27862219,0.27862219,0.27862219,0.27862222]",0.00068605,P2WPKH,DE,64521,EXCHANGE_LIKE
2025-01-21T10:00:13+00:00,192.0.2.196,203.0.113.73,40933,8333,synthetic_tx_00000014,"[""synthetic_wallet_000196""]","[""synthetic_wallet_002081"",""synthetic_wallet_000437""]",[5.40708401],"[2.70306098,2.70306098]",0.00096203,P2WPKH,SG,64517,HIGH_NETWORK_DIVERSITY
2025-01-01T10:00:14+00:00,192.0.2.139,203.0.113.166,8355,443,synthetic_tx_00000015,"[""synthetic_wallet_000139""]","[""synthetic_wallet_002174""]",[10.80105529],[10.80031725],0.00073802,P2SH_P2WPKH,FR,64520,RAPID_TRANSFER
2025-01-16T03:07:06+00:00,192.0.2.74,198.51.100.69,65117,80,synthetic_tx_00000016,"[""synthetic_wallet_002324""]","[""synthetic_wallet_000323""]",[1.84317361],[1.84194772],0.00122587,P2SH_P2WPKH,CA,64515,NORMAL
2025-01-17T22:05:07+00:00,192.0.2.2,198.51.100.82,36367,18444,synthetic_tx_00000017,"[""synthetic_wallet_002252""]","[""synthetic_wallet_001086"",""synthetic_wallet_002162""]",[1.08668795],"[0.54318117,0.54318118]",0.00032558,P2SH_P2WPKH,CA,64513,EXCHANGE_LIKE
