wallet_id,transaction_count,incoming_transaction_count,outgoing_transaction_count,total_received,total_sent,average_received,average_sent,maximum_transaction,amount_variance,unique_counterparties,unique_ips,unique_asns,unique_countries,transactions_per_hour,transactions_per_day,average_time_between_transactions,minimum_time_between_transactions,fan_in_ratio,fan_out_ratio,graph_degree,graph_in_degree,graph_out_degree
1182Whs8pwEtgTT3NPcthE1hDm,42,21,21,391.60511607,457.92688054,4.2108077,4.32006491,8.50185659,2.58021829,0,42,9,11,60.0,1.0,74.6097561,0.0,0.85516953,1.16935878,42,21,21
11EiYyv6Wth4QcpyTuQsn4ugJa,29,16,13,364.97477158,245.15206072,4.7399321,4.01888624,7.97961162,3.02345617,0,29,8,11,60.0,1.0,119.46428571,2.0,1.48876893,0.67169591,29,16,13
11iBZwXwYxB5qYMGNJ4ZFciRSu,10,6,4,32.80709651,20.92228246,5.46784942,5.23057062,7.48520657,3.85750131,0,10,3,3,60.0,1.0,160.66666667,15.0,1.56804577,0.63773649,10,6,4
12AwfksV395GriQQRd3fAkVQQV,7,5,2,3.22945859,0.90551587,0.64589172,0.45275794,1.27524258,0.16341791,0,7,3,2,60.0,1.0,8955.16666667,601.0,3.56642959,0.28039247,7,5,2
12CWeznzDyW6HMminsBno868nV,29,18,11,356.28493802,193.12420809,4.34493827,3.32972773,9.04030814,3.6037281,0,28,8,12,60.0,1.0,102.78571429,0.0,1.84484867,0.54204988,29,18,11
13D2oeGYR5sbiLYbvtV23N4Nso,8,4,4,55.68993031,77.32906242,13.92248258,19.3322656,34.73987476,59.41885512,0,8,3,3,60.0,1.0,844.71428571,0.0,0.72016818,1.38856454,8,4,4
13FzwaTmzQWp6e7Z9huS5ed4Uj,8,2,6,29.72127156,102.20739497,14.86063578,3.52439293,20.60421888,11.09819845,0,8,6,7,60.0,1.0,424.57142857,105.0,0.29079375,3.43886347,8,2,6
13jPxMxXWxbJcV9mbCefWhphyd,1,0,1,0.0,11.89437907,0.0,11.89437907,11.89437907,0.0,0,1,1,1,60.0,1.0,0.0,0.0,0.0,11894379069.999998,1,0,1
13wXFDuWPLusxFF2jDSNJx5rJP,7,6,1,3.11102987,0.96204114,0.51850498,0.96204114,1.0832553,0.13631455,0,7,2,2,60.0,1.0,11600.5,73.0,3.23378049,0.30923558,7,6,1
14Aqmj76jPtbTqeFc4vRuaTbkx,10,7,3,31.51200181,8.2080391,4.50171454,2.73601303,7.36510094,5.58158197,0,10,3,2,60.0,1.0,143.88888889,7.0,3.83916322,0.26047343,10,7,3
14QvK5ixw6gfZRWecspz3VtdiD,4,2,2,1.52618215,2.09124646,0.76309108,1.04562323,1.42990999,0.15426898,0,4,3,3,60.0,1.0,7503.33333333,1355.0,0.72979545,1.37024697,4,2,2
14ZkQy48RQWg3QQCicn5cnrE9N,3,2,1,68.21126578,25.92626025,34.10563289,25.92626025,36.43894342,18.49670019,0,3,2,2,60.0,1.0,1315.0,739.0,2.63097204,0.38008766,3,2,1
14r6idFbpow3CTyvC3vSsYCpxK,9,4,5,3.25689316,4.07337535,0.81422329,0.81467507,1.28443323,0.1252228,0,9,4,4,60.0,1.0,7245.0,915.0,0.79955636,1.25069358,9,4,5
14rNPyuUTx8xrFpiwf1hrhR4La,21,12,9,247.78147611,171.41399157,4.85846032,3.80919981,7.82496984,3.89618378,0,21,8,9,60.0,1.0,106.5,0.0,1.44551488,0.69179502,21,12,9
14xjE8GhUM1BsJe8SsG13esmXm,2,0,2,0.0,9.10324757,0.0,4.55162379,7.04821231,6.23295426,0,2,1,1,60.0,1.0,1499.0,1499.0,0.0,9103247570.0,2,0,2
15NfrgfSrM2hJsVYFPcRUCkejR,18,2,16,26.12930599,270.47371754,13.06465299,4.43399537,14.89543337,6.3157099,0,18,9,10,60.0,1.0,311.29411765,3.0,0.09660571,10.35135482,18,2,16
15i2AoyYjU969itTxWzsmfUgCW,24,12,12,260.82395718,217.26012358,4.74225377,3.62100206,7.97961162,2.29317585,0,24,9,10,60.0,1.0,147.52173913,0.0,1.20051463,0.8329761,24,12,12
15jNgMjw8ozLZLjTMSmKc9DTjR,5,2,3,0.49865736,1.4378699,0.24932868,0.47928997,0.75322964,0.04303159,0,5,4,3,60.0,1.0,15305.0,827.0,0.34680284,2.88348276,5,2,3
15yXc42rSaq67HgA6iyRLFGpKV,2,0,2,0.0,10.45333397,0.0,5.22666698,5.49643028,0.07277224,0,2,1,1,60.0,1.0,127.0,127.0,0.0,10453333969.999998,2,0,2
176MjKLVfnUBmVPV3oxPgUJhs4,6,3,3,2.26854157,2.4884632,0.75618052,0.82948773,1.36184619,0.14813981,0,6,4,2,60.0,1.0,9144.8,4606.0,0.91162352,1.09694406,6,3,3
177jUPUTWxo4kii74SoNtx7GDD,7,1,6,1.13172273,6.67176465,1.13172273,1.11196078,1.37776959,0.0659357,0,7,5,5,60.0,1.0,13057.5,2137.0,0.16962869,5.89522899,7,1,6
17DoeYNP9jiG7Kg5zDMYVNgjLm,7,1,6,7.48853377,19.09770128,7.48853377,3.18295021,7.48853377,3.64318606,0,7,6,6,60.0,1.0,200.16666667,33.0,0.39211702,2.55025908,7,1,6
17Gyb9RWQjpmbTepoAyTi7vYgT,4,2,2,2.15389377,1.16000626,1.07694688,0.58000313,1.21561144,0.20589255,0,4,2,3,60.0,1.0,19301.66666667,3044.0,1.85679495,0.53856243,4,2,2
1814vrF9DuSQkhi6eeHu525Dzi,14,2,12,17.29559663,171.52664324,8.64779831,4.0839677,9.67109661,4.67291755,0,14,7,8,60.0,1.0,408.0,63.0,0.1008333,9.91735914,14,2,12
18JAqTBmQcBVGe397swhgRrB2y,5,4,1,97.89328811,31.75253037,24.47332203,31.75253037,34.89168581,52.87083915,0,5,2,2,60.0,1.0,1220.0,312.0,3.08300746,0.3243586,5,4,1
18a7gQxqbZFWrhjEJ4D8sAkwXY,7,3,4,65.59555804,75.67692196,21.86518601,18.91923049,30.47790068,69.83862498,0,7,2,3,60.0,1.0,720.16666667,0.0,0.86678417,1.15368973,7,3,4
18hWgVJmgYDM2A4b2C7KJ9nVo1,4,0,4,0.0,24.19361287,0.0,6.04840322,8.31856626,6.76518409,0,4,1,1,60.0,1.0,663.33333333,388.0,0.0,24193612869.999996,4,0,4
19C2qggJfdgFfFFk2P6mrX9Zwf,39,24,15,448.35074508,295.70609881,4.67032026,4.05076848,7.92864385,3.17402048,0,38,9,12,60.0,1.0,74.5,0.0,1.51620392,0.65954189,39,24,15
19Hz3YnVcKbmYDdCbPMoWJxvfx,1,0,1,0.0,7.09141463,0.0,7.09141463,7.09141463,0.0,0,1,1,1,60.0,1.0,0.0,0.0,0.0,7091414630.0,1,0,1
1A1T2FbPhvmy1N1qjRwpoL7EaG,14,3,11,46.803158,131.11920428,15.60105267,2.97998192,18.02433587,11.89881285,0,13,6,9,60.0,1.0,361.46153846,34.0,0.35695121,2.80150336,14,3,11
1A9HQyeGFHtL6dSdEo5oMsXCYu,25,13,12,279.07059678,281.95482171,4.57492782,5.1264513,8.24377349,2.998242,0,24,8,10,60.0,1.0,137.95833333,0.0,0.98977061,1.01033511,25,13,12
1ARnshApRMQ761LVQqJ796CUVc,14,5,9,71.24882666,149.48416864,14.24976533,4.15233802,18.11296932,14.67425672,0,14,7,8,60.0,1.0,366.69230769,47.0,0.47663125,2.09805797,14,5,9
1AtpAXt1CTY9zwhaboMsYLHcwd,6,0,6,0.0,29.62460008,0.0,4.93743335,8.25397406,7.75228748,0,6,1,1,60.0,1.0,383.4,80.0,0.0,29624600080.0,6,0,6
1BCvmrgtzBoV3TQkoGVgKqpsVF,7,4,3,2.79410696,2.41557029,0.69852674,0.8051901,1.27279637,0.1088164,0,7,4,2,60.0,1.0,9925.83333333,2322.0,1.15670696,0.8645232,7,4,3
1BDF3Tq1JTFpjDqE5CVxgYmMxW,32,17,15,382.48899556,302.4472736,4.78111244,4.08712532,9.04030814,2.94560173,0,32,9,12,60.0,1.0,111.51612903,0.0,1.26464686,0.79073458,32,17,15
1BSkZzynrLm8hKQgFF9XAWpfQT,19,7,12,94.48392992,199.14107538,13.49770427,4.32915381,23.2487271,20.7214396,0,18,8,8,60.0,1.0,215.5,0.0,0.47445726,2.10767138,19,7,12
1D1gqH1WYwYbt1fyYGEejXWTV6,38,15,23,324.53058914,489.05608468,4.44562451,4.657677,10.11168607,3.89803993,0,38,9,11,60.0,1.0,95.7027027,0.0,0.66358563,1.50696452,38,15,23
1DA23GXgwr5WTyhdDnmRYSGAim,4,3,1,2.85822136,1.27363282,0.95274045,1.27363282,1.45314097,0.11449668,0,4,2,2,60.0,1.0,18012.66666667,3075.0,2.24414864,0.44560328,4,3,1
1DTmcoobHjKLG74SdcvYA4Q1U6,7,0,7,0.0,31.90774821,0.0,4.55824974,7.65342119,5.59892002,0,7,5,6,60.0,1.0,244.16666667,51.0,0.0,31907748210.0,7,0,7
1DfZpy9x5JrswTNsZJu1KoLvee,8,3,5,1.66730932,4.60320347,0.55576977,0.92064069,1.27123079,0.18366048,0,8,5,5,60.0,1.0,10416.57142857,649.0,0.3622063,2.76085752,8,3,5
1DrHvaDPnTKB3cYEmXNG11j68v,3,2,1,10.83930853,4.26829086,5.41965427,4.26829086,6.09531661,0.59893256,0,3,2,2,60.0,1.0,463.5,417.0,2.53949623,0.39377889,3,2,1
1EkyMLdskLUnP6e1gZSw9wK4Qz,34,17,17,404.59518765,368.4625792,4.75994338,5.04743259,11.00751624,4.89959045,0,32,9,9,60.0,1.0,83.75757576,0.0,1.09806317,0.91069442,34,17,17
1Er9qHKM81YpUC9RbnFZcvjtP5,8,6,2,4.50921158,1.6599516,0.75153526,0.8299758,1.24975165,0.09474585,0,8,3,3,60.0,1.0,7111.71428571,995.0,2.71647172,0.36812458,8,6,2
1Fv1q2LWkobUbRuFGWPAJDyoq8,13,2,11,25.84984766,152.82726118,12.92492383,3.47334685,15.23729464,6.655629,0,12,7,9,60.0,1.0,421.33333333,0.0,0.16914422,5.91211458,13,2,11
1GA74KRxgTGxzBuMdoMDqBYZWY,6,5,1,3.81007404,0.85598498,0.76201481,0.85598498,1.09769811,0.02603386,0,6,2,2,60.0,1.0,12785.2,7138.0,4.45109918,0.22466361,6,5,1
1GLjeQXcaPUpcNPmWJLHF8oDM8,16,3,13,2.70291292,9.64152455,0.90097097,0.74165573,1.48650206,0.14625468,0,16,6,10,60.0,1.0,5221.53333333,121.0,0.28034082,3.56708663,16,3,13
1Gkqfxs6aVanQ5d84vczZDdbAB,15,3,12,53.58424653,203.41118887,17.86141551,4.84312354,22.28362842,21.59005545,0,15,7,9,60.0,1.0,231.21428571,6.0,0.26342822,3.79610057,15,3,12
1GqNrWkWzex2X8H5RhsFkmFtMT,4,0,4,0.0,28.56191817,0.0,7.14047954,11.99111361,11.21284162,0,4,1,1,60.0,1.0,345.66666667,115.0,0.0,28561918169.999996,4,0,4
1GsFnpiUJvQ9koNyXWVPrLYc7C,9,3,6,11.0866087,30.25862443,3.69553623,5.04310407,7.29469725,2.97383406,0,8,4,7,60.0,1.0,129.875,16.0,0.366395,2.72929489,9,3,6
1Gx5Vtxwc74ibv16qwGBTYXExS,9,5,4,3.34771821,3.80615776,0.66954364,0.95153944,1.35503891,0.09191224,0,9,5,3,60.0,1.0,8271.75,95.0,0.87955319,1.1369409,9,5,4
1H1p8fCepAjVQtCHsmGYCtax3N,32,16,16,349.74837055,360.21811538,4.60195224,4.73971204,10.85308279,3.92747792,0,32,8,11,60.0,1.0,111.51612903,0.0,0.97093499,1.02993508,32,16,16
1HNJyfmyJc1aD6GoTYcqGmXinY,7,4,3,4.00001446,1.41261587,1.00000362,0.47087196,1.33241047,0.13771433,0,7,3,4,60.0,1.0,11091.5,26.0,2.83163636,0.35315269,7,4,3
1JR9TDiytaGhtbs2RsnPXbsYPd,18,3,15,56.08306267,168.39365059,18.69435422,3.06170274,23.95587968,14.79878377,0,16,8,9,60.0,1.0,212.88235294,12.0,0.33304737,3.00257587,18,3,15
1JfiSJyVrxQpeaVTBCw29oGjHp,2,0,2,0.0,7.18882454,0.0,3.59441227,6.30059782,7.32344023,0,2,1,1,60.0,1.0,605.0,605.0,0.0,7188824540.0,2,0,2
1JqsBKkHAv4msKEqb3PuV7gxkp,6,5,1,23.07250819,3.0925808,4.61450164,3.0925808,7.93608177,3.82349779,0,6,2,2,60.0,1.0,332.2,83.0,7.46059996,0.13403748,6,5,1
1JrUmzjrrMHBr5Jr4RRN4HuHCV,6,2,4,60.27163079,107.21534672,30.1358154,26.80383668,34.87755692,41.61485833,0,6,4,4,60.0,1.0,975.8,192.0,0.56215488,1.77886918,6,2,4
1Jxi9mx9GAnMvGqvkSYAdhJhTR,14,3,11,50.22153514,168.92791597,16.74051171,4.33148502,21.30114461,15.01005591,0,14,7,7,60.0,1.0,362.23076923,0.0,0.29729565,3.36365496,14,3,11
1K2MH75NByRBo5cz6NfgzXn2Ui,8,2,6,46.79336987,111.68689869,23.39668493,5.07667721,23.60300458,28.86510542,0,8,5,5,60.0,1.0,414.85714286,0.0,0.41896919,2.38681033,8,2,6
1LkinrWXFFAxzgHQSCmjNsxyMW,24,15,9,308.36585414,201.74156675,4.34318104,4.80337064,7.98974204,2.73621518,0,23,8,11,60.0,1.0,118.65217391,0.0,1.52851918,0.65422797,24,15,9
1MSgpdfbaiyns3a7VWuy3yGabS,32,15,17,315.08329133,332.93388958,4.84743525,4.01125168,7.96600703,3.16377571,0,32,9,11,60.0,1.0,114.03225806,0.0,0.94638396,1.05665359,32,15,17
1Mq51Wgd75bEZH9Py5yGQKBVvb,8,3,5,0.97769238,4.12707752,0.32589746,0.8254155,1.40227453,0.18369271,0,8,4,4,60.0,1.0,7137.71428571,502.0,0.23689702,4.22124341,8,3,5
1NFNrB5Zh8aZDzrPPouiuAG7AH,6,1,5,0.66261331,3.34858487,0.66261331,0.66971697,1.25329258,0.07883286,0,6,5,5,60.0,1.0,15561.4,2588.0,0.19787861,5.05360339,6,1,5
1NcqbRWMxDmGdRFwrT3MpXntRR,7,1,6,0.23336487,5.97578756,0.23336487,0.99596459,1.3104618,0.13075948,0,7,5,6,60.0,1.0,12626.5,1072.0,0.03905173,25.60705714,7,1,6
1NgtyqW37p4bCBs2YZ85zGoVee,9,4,5,91.145799,110.53520309,22.78644975,22.10704062,30.28478838,22.97887803,0,9,4,3,60.0,1.0,823.625,0.0,0.82458616,1.21272954,9,4,5
1NrAszf1JwA9bHtC8jx291PssG,11,6,5,4.61569125,4.21604864,0.76928188,0.84320973,1.45608307,0.12775777,0,10,4,5,60.0,1.0,5618.7,834.0,1.0947908,0.91341652,11,6,5
1NtXaWAfzZ9MgMBSgpvLeNZvZb,6,1,5,0.70694164,6.15956666,0.70694164,1.23191333,1.48008583,0.07913867,0,6,5,5,60.0,1.0,11558.8,2451.0,0.11477133,8.71297758,6,1,5
1PJDN93md4J98wWWTBqNFyKfBs,3,1,2,7.10606189,40.83514008,7.10606189,20.41757004,31.37839177,119.4700196,0,3,3,2,60.0,1.0,2374.0,1788.0,0.17401831,5.74652187,3,1,2
1QF3jEasQRXWy33iM7nahvJvpH,4,0,4,0.0,21.85928644,0.0,5.46482161,7.61151512,3.77525468,0,4,1,1,60.0,1.0,443.0,336.0,0.0,21859286439.999996,4,0,4
1QRACw3ctnpiTFMGToMJu5dQ8Z,13,5,8,65.45594524,115.73634713,13.09118905,3.61676085,17.16305367,15.89092446,0,13,5,6,60.0,1.0,232.75,0.0,0.56556084,1.76815638,13,5,8
1QYfVCxXecPPBvzHpvm6K2R4Bw,7,2,5,9.643704,21.91644918,4.821852,4.38328984,7.8206082,6.17997886,0,7,4,4,60.0,1.0,223.33333333,21.0,0.44002128,2.27261737,7,2,5
1QkpkHeRuhQ7kFX2gycMgFi5hu,3,0,3,0.0,2.53538823,0.0,0.84512941,1.36254335,0.13820772,0,3,3,3,60.0,1.0,22008.0,15075.0,0.0,2535388229.9999995,3,0,3
1RiYdfX3CJSAgfkmS3SyyNmG4p,5,2,3,4.29835691,12.41964264,2.14917845,4.13988088,5.66677125,3.81436465,0,5,3,2,60.0,1.0,279.5,21.0,0.34609345,2.88939306,5,2,3
1RjJjwjQx72KxyiRFRZn7zMYxf,31,14,17,269.90643826,300.38127372,4.49844064,3.85104197,8.30347695,3.26511364,0,30,9,12,60.0,1.0,87.66666667,1.0,0.89854615,1.11290889,31,14,17
1RrVGp3DWpr7ajEXRkLMBho3pc,8,0,8,0.0,59.08631309,0.0,7.38578914,10.95887844,9.24445102,0,8,1,1,60.0,1.0,243.71428571,62.0,0.0,59086313089.99999,8,0,8
1S5f7kufruRMYij46Eu9yezqht,29,12,17,264.86181305,346.69559664,4.9973927,4.22799508,8.08057407,2.66041886,0,29,8,11,60.0,1.0,121.89285714,0.0,0.76396071,1.30896784,29,12,17
1S5yWxKrwLM6cW1QDKdsLpgGWQ,17,3,14,33.80550767,185.14740317,11.26850256,3.77851843,16.80527146,8.77693736,0,17,7,8,60.0,1.0,255.375,5.0,0.18258699,5.47684138,17,3,14
1SCnfzehvmmVgPLNuDnqjtb6qq,26,16,10,369.62322926,162.68538085,4.62029037,3.46139108,7.82496984,2.90412808,0,25,8,10,60.0,1.0,122.36,0.0,2.27201256,0.44013841,26,16,10
