wallet_id,transaction_count,incoming_transaction_count,outgoing_transaction_count,total_received,total_sent,average_received,average_sent,maximum_transaction,amount_variance,unique_counterparties,unique_ips,unique_asns,unique_countries,transactions_per_hour,transactions_per_day,average_time_between_transactions,minimum_time_between_transactions,fan_in_ratio,fan_out_ratio,graph_degree,graph_in_degree,graph_out_degree
synthetic_wallet_000001,14,9,5,67.46924775,7.09026038,7.49658308,0.59085503,17.7074341,25.84889678,0,4,5,5,60.0,1.0,184077.46153846,6.0,9.51576446,0.10508877,14,9,5
synthetic_wallet_000002,10,6,4,32.76209217,4.33936109,5.4603487,0.61990873,16.63324571,19.75716071,0,2,4,5,60.0,1.0,295991.11111111,41568.0,7.54998063,0.13245067,10,6,4
synthetic_wallet_000003,16,9,7,43.28748655,8.31209805,4.80972073,0.75564528,16.78732347,19.03347684,0,2,4,5,60.0,1.0,177428.86666667,193.0,5.207769,0.19202081,16,9,7
synthetic_wallet_000004,18,13,5,82.42834588,5.23735498,6.34064199,0.5237355,16.92236561,21.0201446,0,2,4,4,60.0,1.0,153692.0,221.0,15.73854478,0.06353828,18,13,5
synthetic_wallet_000005,14,7,7,32.10260327,41.84623149,4.58608618,2.98901654,15.96795746,17.7531607,0,3,6,5,60.0,1.0,208186.76923077,36.0,0.76715638,1.30351521,14,7,7
synthetic_wallet_000006,12,11,1,74.59071029,10.7516383,6.78097366,2.68790957,17.15070278,24.5862703,0,2,2,1,60.0,1.0,141401.63636364,54.0,6.93761343,0.14414179,12,11,1
synthetic_wallet_000007,16,8,8,71.68684734,13.25767915,8.96085592,0.73653773,16.95096145,25.67349291,0,4,6,7,60.0,1.0,175304.46666667,2994.0,5.40719432,0.18493879,16,8,8
synthetic_wallet_000008,7,3,4,18.94364809,12.90911654,6.31454936,1.84415951,13.4363079,13.2596955,0,2,4,4,60.0,1.0,412541.16666667,105583.0,1.46746278,0.68144829,7,3,4
synthetic_wallet_000009,17,8,9,56.32491642,46.87224093,7.04061455,1.95301004,17.5442072,18.98424214,0,6,7,7,60.0,1.0,153106.125,65.0,1.20166895,0.83217595,17,8,9
synthetic_wallet_000010,10,5,5,49.77877479,5.1724397,9.95575496,0.36945998,15.36144922,23.5931428,0,2,4,4,60.0,1.0,306282.22222222,29742.0,9.62384826,0.10390854,10,5,5
synthetic_wallet_000011,24,18,6,116.3019931,43.63906872,6.46122184,2.90927125,16.5031585,20.73390555,0,5,6,6,60.0,1.0,125939.30434783,29.0,2.6650888,0.37522202,24,18,6
synthetic_wallet_000012,23,15,8,85.03439504,25.41131484,5.66895967,1.01645259,16.48830764,19.83912551,0,5,8,5,60.0,1.0,103313.81818182,121.0,3.34632016,0.29883572,23,15,8
synthetic_wallet_000013,17,10,7,33.04345772,8.40658013,3.30434577,0.44245159,15.53905336,8.00662396,0,2,5,5,60.0,1.0,186562.5625,31037.0,3.93066588,0.25440982,17,10,7
synthetic_wallet_000014,17,9,8,65.2842343,26.06602315,7.25380381,1.2412392,17.63408177,20.70149183,0,5,6,8,60.0,1.0,168925.8125,5131.0,2.5045721,0.3992698,17,9,8
synthetic_wallet_000015,19,11,8,92.90864618,37.66453341,8.44624056,2.51096889,15.74702892,27.35548206,0,4,6,7,60.0,1.0,160105.0,27.0,2.46674093,0.4053932,19,11,8
synthetic_wallet_000016,19,11,8,67.48879478,11.63404052,6.13534498,0.83100289,17.03044626,19.94077275,0,1,4,7,60.0,1.0,161713.16666667,32.0,5.80097642,0.17238477,19,11,8
synthetic_wallet_000017,15,10,5,81.51211207,5.62199874,8.15121121,0.51109079,15.62056949,27.71201076,0,3,6,5,60.0,1.0,169680.64285714,75.0,14.49877808,0.06897133,15,10,5
synthetic_wallet_000018,17,12,5,29.03138037,8.61678378,2.4192817,0.86167838,9.182092,3.22046331,0,3,4,5,60.0,1.0,178134.3125,27686.0,3.36916663,0.2968093,17,12,5
synthetic_wallet_000019,19,9,10,43.22791876,9.69521957,4.80310208,0.60595122,12.02464308,9.77394339,0,4,7,5,60.0,1.0,159915.55555556,20168.0,4.45868383,0.22428143,19,9,10
synthetic_wallet_000020,22,11,11,74.71921491,35.38336509,6.7926559,1.68492215,15.92276645,20.63102775,0,4,7,8,60.0,1.0,129325.0952381,2520.0,2.1117046,0.47355108,22,11,11
synthetic_wallet_000021,13,5,8,28.77464011,17.29527733,5.75492802,1.44127311,14.4352009,14.15673301,0,3,7,6,60.0,1.0,176615.75,26641.0,1.66372817,0.60105973,13,5,8
synthetic_wallet_000022,12,5,7,7.51208602,43.49833238,1.5024172,3.10702374,17.43157186,14.79309424,0,4,5,7,60.0,1.0,219999.36363636,16.0,0.17269825,5.79044652,12,5,7
synthetic_wallet_000023,10,8,2,63.19457469,2.62856017,7.89932184,0.43809336,16.61257711,31.07500722,0,2,3,3,60.0,1.0,147845.22222222,208.0,24.04151726,0.04159471,10,8,2
synthetic_wallet_000024,20,12,8,49.80275998,20.84295671,4.15023,1.38953045,15.22461172,13.37174066,0,4,5,6,60.0,1.0,120715.21052632,121.0,2.38942875,0.41851007,20,12,8
synthetic_wallet_000025,16,11,5,45.14233505,6.68791303,4.10384864,0.95541615,12.72893868,11.93443761,0,2,4,6,60.0,1.0,172621.66666667,10377.0,6.74983883,0.14815169,16,11,5
synthetic_wallet_000026,10,4,6,8.27442412,9.15218721,2.06860603,1.1440234,7.15846067,3.56233542,0,2,4,6,60.0,1.0,287172.33333333,17548.0,0.90409253,1.10608147,10,4,6
synthetic_wallet_000027,22,12,10,96.46324402,23.3107331,8.03860367,0.75195913,17.60006135,22.61711716,0,5,7,8,60.0,1.0,139096.76190476,60.0,4.13814716,0.24165404,22,12,10
synthetic_wallet_000028,14,9,5,35.78507314,7.90301443,3.97611924,0.71845586,16.94939724,16.8514214,0,3,5,6,60.0,1.0,197841.76923077,20934.0,4.52802832,0.22084668,14,9,5
synthetic_wallet_000029,19,10,9,34.60063081,18.2683875,3.46006308,1.01491042,10.23046741,4.55085081,0,5,6,6,60.0,1.0,148631.83333333,8.0,1.89401669,0.52797845,19,10,9
synthetic_wallet_000030,11,4,7,17.95565801,43.7027751,4.4889145,2.73142344,12.11378628,7.72802773,0,5,5,4,60.0,1.0,225963.5,19350.0,0.41085853,2.43392779,11,4,7
synthetic_wallet_000031,13,8,5,57.53413754,18.060022,7.19176719,1.64182018,16.25428497,28.86809326,0,3,4,5,60.0,1.0,232194.33333333,356.0,3.18571802,0.31390098,13,8,5
synthetic_wallet_000032,12,7,5,27.37107893,17.2247771,3.91015413,1.23034122,12.09697695,8.43147026,0,3,5,5,60.0,1.0,237489.18181818,10382.0,1.58905272,0.62930574,12,7,5
synthetic_wallet_000033,24,16,8,110.87664554,19.59942343,6.92979035,1.0315486,16.41163264,26.67105226,0,4,6,7,60.0,1.0,129755.17391304,16.0,5.65713813,0.17676782,24,16,8
synthetic_wallet_000034,16,9,7,33.97630497,8.47503068,3.775145,0.52968942,14.62936525,8.78636705,0,3,6,5,60.0,1.0,177599.8,1714.0,4.00898902,0.24943945,16,9,7
synthetic_wallet_000035,18,11,7,41.15092381,15.65635354,3.74099307,0.86979742,16.08980532,10.44233464,0,4,6,7,60.0,1.0,174161.82352941,45.0,2.62838494,0.38046178,18,11,7
synthetic_wallet_000036,13,8,5,58.3878976,15.79157517,7.2984872,1.12796966,17.57102218,20.278647,0,4,4,5,60.0,1.0,211348.66666667,386.0,3.69740808,0.27045973,13,8,5
synthetic_wallet_000037,14,12,2,68.87049025,2.77011003,5.73920752,0.461685,13.96282757,19.60793679,0,3,3,3,60.0,1.0,129900.69230769,47.0,24.8620053,0.04022202,14,12,2
synthetic_wallet_000038,15,7,8,20.52174673,13.36751382,2.9316781,0.70355336,7.57376192,3.32990277,0,5,6,6,60.0,1.0,173792.14285714,10850.0,1.53519548,0.65138285,15,7,8
synthetic_wallet_000039,13,9,4,43.33552631,2.73290673,4.81505848,0.45548445,17.95578285,24.15218908,0,1,5,5,60.0,1.0,215382.0,202.0,15.85693571,0.06306389,13,9,4
synthetic_wallet_000040,15,8,7,61.70323274,19.05274497,7.71290409,1.73206772,14.33039935,26.10076325,0,2,6,7,60.0,1.0,191524.35714286,422.0,3.23854819,0.30878034,15,8,7
synthetic_wallet_000041,18,11,7,36.92972876,33.69977067,3.35724807,3.36997707,13.92962776,15.71706744,0,2,5,7,60.0,1.0,175496.17647059,929.0,1.09584511,0.91253773,18,11,7
synthetic_wallet_000042,12,6,6,38.68504817,35.09522822,6.44750803,2.92460235,17.86140575,28.83511135,0,3,7,7,60.0,1.0,259287.09090909,86602.0,1.10228798,0.90720394,12,6,6
synthetic_wallet_000043,12,9,3,37.22845592,3.8361853,4.1364951,0.38361853,15.99431888,13.47795151,0,2,4,3,60.0,1.0,238074.90909091,51519.0,9.70455101,0.10304444,12,9,3
synthetic_wallet_000044,15,7,8,46.2297484,39.21680071,6.60424977,1.78258185,17.96564873,20.33397277,0,6,6,5,60.0,1.0,175869.64285714,256.0,1.17882508,0.84830227,15,7,8
synthetic_wallet_000045,10,7,3,38.2068323,12.42088027,5.4581189,1.38009781,14.2394724,15.12679941,0,2,3,3,60.0,1.0,182431.33333333,211.0,3.07601647,0.32509579,10,7,3
synthetic_wallet_000046,14,7,7,22.90148688,9.69007639,3.27164098,0.64600509,8.85480498,4.38774646,0,3,4,6,60.0,1.0,209978.76923077,120.0,2.36339591,0.42311997,14,7,7
synthetic_wallet_000047,17,12,5,111.52858218,21.85308477,9.29404852,2.18530848,17.99917773,28.94946967,0,4,4,5,60.0,1.0,153366.9375,27.0,5.10356242,0.19594156,17,12,5
synthetic_wallet_000048,13,9,4,63.98468762,4.54114559,7.10940974,0.41283142,14.57731941,27.1204608,0,4,3,5,60.0,1.0,192501.33333333,258.0,14.08998817,0.07097238,13,9,4
synthetic_wallet_000049,26,16,10,122.37157427,20.98634841,7.64822339,0.83945394,15.91564573,22.90647531,0,6,6,9,60.0,1.0,115066.64,36.0,5.83100842,0.17149692,26,16,10
synthetic_wallet_000050,19,10,9,65.55136393,26.93923308,6.55513639,1.49662406,17.77568494,19.94341945,0,4,6,7,60.0,1.0,150854.0,53.0,2.43330475,0.41096373,19,10,9
synthetic_wallet_000051,8,5,3,38.47169805,13.59600957,7.69433961,1.1330008,12.18384661,13.38432269,0,1,3,4,60.0,1.0,321526.57142857,15519.0,2.82963158,0.3534029,8,5,3
synthetic_wallet_000052,25,9,16,36.5603891,40.06458096,4.06226546,1.25201816,10.7244073,4.478769,0,5,7,8,60.0,1.0,104463.79166667,97.0,0.91253642,1.09584668,25,9,16
synthetic_wallet_000053,10,6,4,33.45078908,3.32208378,5.57513151,0.36912042,12.96887439,14.69420981,0,3,3,5,60.0,1.0,231471.66666667,10035.0,10.06921899,0.09931257,10,6,4
synthetic_wallet_000054,21,17,4,126.90435177,4.48720534,7.46496187,0.40792776,17.9503161,39.62313103,0,2,5,4,60.0,1.0,127701.15,375.0,28.28137831,0.03535896,21,17,4
synthetic_wallet_000055,15,10,5,81.50203909,7.98987187,8.15020391,0.66582266,17.04858947,29.10389594,0,4,4,5,60.0,1.0,184012.64285714,80.0,10.2006691,0.09803278,15,10,5
synthetic_wallet_000056,15,6,9,27.1235486,18.63806174,4.52059143,0.84718462,14.08502322,7.29070648,0,4,7,6,60.0,1.0,202399.28571429,26982.0,1.45527732,0.68715425,15,6,9
synthetic_wallet_000057,15,10,5,50.20804716,22.81348272,5.02080472,1.42584267,14.50450005,12.2073377,0,3,5,5,60.0,1.0,187699.0,396.0,2.20080589,0.45437901,15,10,5
synthetic_wallet_000058,16,13,3,87.65171851,10.26366998,6.74243989,1.71061166,17.1048523,22.81409216,0,2,4,3,60.0,1.0,177733.13333333,20.0,8.53999775,0.11709605,16,13,3
synthetic_wallet_000059,15,5,10,16.67748097,18.50146768,3.33549619,1.02785932,11.85977364,5.68060627,0,2,9,9,60.0,1.0,200224.14285714,242.0,0.90141395,1.10936824,15,5,10
synthetic_wallet_000060,16,13,3,81.86277928,5.01776274,6.29713687,0.71682325,14.45611498,20.24478964,0,1,3,3,60.0,1.0,192400.6,32.0,16.31459747,0.0612948,16,13,3
synthetic_wallet_000061,12,10,2,54.82414886,5.80736674,5.48241489,2.90368337,14.44462562,24.56193641,0,1,3,3,60.0,1.0,253833.18181818,66326.0,9.44044888,0.10592717,12,10,2
synthetic_wallet_000062,14,11,3,44.81842336,13.9550807,4.07440212,2.79101614,15.27634845,16.92967211,0,2,4,4,60.0,1.0,208918.46153846,42359.0,3.21162051,0.31136929,14,11,3
synthetic_wallet_000063,12,6,6,28.69972179,7.08059195,4.78328696,0.78673244,10.13869065,9.14883607,0,2,5,6,60.0,1.0,221641.36363636,11543.0,4.05329413,0.24671291,12,6,6
synthetic_wallet_000064,16,12,4,59.91280968,4.27415831,4.99273414,0.47490648,16.26654971,23.54137084,0,4,4,4,60.0,1.0,145482.53333333,26.0,14.01745217,0.07133964,16,12,4
synthetic_wallet_000065,13,7,6,16.75360673,22.41982686,2.39337239,2.49109187,7.05902799,2.82532349,0,2,5,5,60.0,1.0,220952.0,52732.0,0.74726744,1.33820897,13,7,6
synthetic_wallet_000066,20,10,10,64.31991679,21.15633901,6.43199168,1.17535217,16.90632176,14.94839303,0,3,6,7,60.0,1.0,139247.05263158,89.0,3.04021961,0.32892361,20,10,10
synthetic_wallet_000067,19,12,7,62.53279251,17.73064443,5.21106604,1.2664746,16.87214636,18.19931354,0,4,5,4,60.0,1.0,141785.55555556,338.0,3.52682006,0.28354154,19,12,7
synthetic_wallet_000068,15,9,6,54.94384306,8.1308816,6.10487145,0.62545243,15.21185478,21.25990637,0,3,6,6,60.0,1.0,151093.28571429,293.0,6.75742752,0.14798531,15,9,6
synthetic_wallet_000069,15,10,5,69.93931545,10.92704269,6.99393154,0.64276722,16.7394863,23.30799107,0,1,5,5,60.0,1.0,100929.64285714,166.0,6.40057126,0.15623605,15,10,5
synthetic_wallet_000070,23,17,6,103.24333327,7.3383613,6.07313725,0.61153011,16.50753029,26.26564479,0,3,5,6,60.0,1.0,123947.90909091,21.0,14.06899021,0.07107831,23,17,6
synthetic_wallet_000071,16,10,6,86.15388759,10.87353699,8.61538876,0.77668121,16.73836344,26.41477696,0,4,5,5,60.0,1.0,182019.06666667,32.0,7.92326247,0.12621064,16,10,6
synthetic_wallet_000072,13,6,7,34.33695456,22.08430287,5.72282576,1.29907664,13.86301881,18.19574133,0,4,7,6,60.0,1.0,207047.0,45095.0,1.5548127,0.64316429,13,6,7
synthetic_wallet_000073,13,10,3,48.67188572,3.88125496,4.86718857,0.48515687,16.01890246,24.82035564,0,1,4,4,60.0,1.0,208148.0,431.0,12.54024439,0.07974326,13,10,3
synthetic_wallet_000074,17,9,8,44.55993078,28.19293964,4.95110342,1.08434383,16.16445218,11.44785528,0,7,6,4,60.0,1.0,157582.0,22678.0,1.5805351,0.63269711,17,9,8
synthetic_wallet_000075,18,11,7,61.79648695,11.76441476,5.61786245,0.73527592,12.97584692,14.23661987,0,5,4,7,60.0,1.0,154882.94117647,8248.0,5.25283137,0.19037352,18,11,7
synthetic_wallet_000076,18,11,7,103.66113524,20.99400573,9.42373957,1.16633365,14.94615448,26.0082208,0,5,7,5,60.0,1.0,161442.35294118,22.0,4.93765395,0.20252533,18,11,7
synthetic_wallet_000077,19,13,6,105.63897227,29.93927072,8.12607479,2.49493923,16.73023545,27.87142272,0,3,5,5,60.0,1.0,146268.94444444,11.0,3.52844173,0.28341123,19,13,6
synthetic_wallet_000078,17,10,7,86.60462851,23.96388238,8.66046285,1.08926738,16.46687492,24.38697145,0,5,6,6,60.0,1.0,108534.8125,51.0,3.61396485,0.27670441,17,10,7
synthetic_wallet_000079,12,7,5,67.15005435,13.75811155,9.59286491,1.71976394,16.63456206,39.03372252,0,2,5,5,60.0,1.0,218812.72727273,216.0,4.880761,0.20488608,12,7,5
synthetic_wallet_000080,15,12,3,75.11027785,16.43300883,6.25918982,2.7388348,17.14917077,18.35681687,0,2,4,4,60.0,1.0,207930.0,297.0,4.5706954,0.21878509,15,12,3
