wallet_id,transaction_count,incoming_transaction_count,outgoing_transaction_count,total_received,total_sent,average_received,average_sent,maximum_transaction,amount_variance,unique_counterparties,unique_ips,unique_asns,unique_countries,transactions_per_hour,transactions_per_day,average_time_between_transactions,minimum_time_between_transactions,fan_in_ratio,fan_out_ratio,graph_degree,graph_in_degree,graph_out_degree
113sZkjaeAMrsbvhMXZsDfnub3,42,19,23,369.99798177,410.99577641,4.35291743,3.77060345,9.39529844,2.86825995,0,40,9,11,60.0,1.0,391.2195122,2.0,0.90024765,1.11080545,42,19,23
1171czicykuTYfYtHHYU6eEVbt,8,0,8,0.0,42.44142777,0.0,5.30517847,9.07995969,6.72606019,0,8,1,1,60.0,1.0,1412.14285714,459.0,0.0,42441427769.99999,8,0,8
117CZmgXpLwmGBMk5BCNzWA1jX,4,3,1,3.44723967,0.60925574,1.14907989,0.60925574,1.24424077,0.06460538,0,4,2,1,60.0,1.0,24456.33333333,10920.0,5.65811603,0.17673727,4,3,1
1182Whs8pwEtgTT3NPcthE1hDm,5,3,2,2.68238758,1.44976416,0.89412919,0.72488208,1.3297287,0.19916134,0,5,2,3,60.0,1.0,19576.5,4031.0,1.8502234,0.54047527,5,3,2
118J4iu3qhmPuAuVb52QMiaj33,16,5,11,85.27531333,137.6347142,17.05506267,2.80887172,22.47197458,22.82835668,0,15,7,7,60.0,1.0,1366.2,167.0,0.61957707,1.6140042,16,5,11
119riRptaGcYcg3yEpLhPy4BfM,19,2,17,29.81279261,240.85367139,14.90639631,3.88473664,21.75384087,11.66925288,0,18,7,9,60.0,1.0,1062.33333333,71.0,0.12377969,8.07886985,19,2,17
11AvPVcY3kputf3gMg4AkWpfd1,10,5,5,124.03908771,152.58143944,24.80781754,30.51628789,36.38179867,63.34411607,0,10,4,3,60.0,1.0,739.55555556,34.0,0.81293693,1.23010772,10,5,5
11BGP53AtQzitNPw48gyoFNKNs,23,4,19,52.89347223,269.29115505,13.22336806,3.16813124,19.47092579,8.00173889,0,22,9,9,60.0,1.0,852.54545455,3.0,0.19641741,5.09119828,23,4,19
11CEYKEcyhYGKM4MB8fK1Mh1HX,2,0,2,0.0,11.75286319,0.0,5.87643159,10.13568751,18.14126095,0,2,1,1,60.0,1.0,2625.0,2625.0,0.0,11752863189.999998,2,0,2
11EiYyv6Wth4QcpyTuQsn4ugJa,7,4,3,3.43777988,3.26568684,0.85944497,1.08856228,1.36269117,0.08691951,0,7,4,4,60.0,1.0,12072.5,3058.0,1.05269735,0.94994065,7,4,3
11F8MbJRLFqfsHJzvq9c2mMHk2,29,15,14,358.6721309,293.44423467,4.91331686,4.07561437,7.84544738,2.59039434,0,27,9,10,60.0,1.0,551.42857143,23.0,1.22228379,0.81814061,29,15,14
11FTpqytsbd3t1xoGu4549VCK3,8,4,4,3.51444341,1.92652254,0.87861085,0.48163063,1.36505308,0.19963591,0,8,4,5,60.0,1.0,10244.14285714,2192.0,1.82424204,0.54817287,8,4,4
11HQJH52R7USHeW12kbKKspNc2,7,5,2,27.02331447,10.93957574,5.40466289,5.46978787,7.83797172,2.89654502,0,7,2,2,60.0,1.0,1405.16666667,160.0,2.47023423,0.40481991,7,5,2
11KWatYkqScboSyaWiaPsfdnvp,5,5,0,2.98392484,0.0,0.59678497,0.0,0.9364848,0.04103745,0,5,1,1,60.0,1.0,19473.5,3146.0,2983924840.0,0.0,5,5,0
11Ku8mmLQ3NjpREqDX3UfNi7w5,30,16,14,426.15276435,289.16850009,5.01356193,4.01622917,9.61848723,3.30835266,0,30,9,11,60.0,1.0,566.75862069,7.0,1.4737178,0.67855596,30,16,14
11MpqhjyVXzj9P1K3CNmutpbig,3,0,3,0.0,18.46290511,0.0,6.1543017,7.71872095,4.44640502,0,3,1,1,60.0,1.0,3765.5,1378.0,0.0,18462905110.0,3,0,3
11NuDkj5Fy7tvvjBoB3TZ7uMMc,8,2,6,0.95889658,4.01525048,0.47944829,0.66920841,1.21147967,0.11283383,0,8,6,7,60.0,1.0,11049.14285714,1186.0,0.23881364,4.18736552,8,2,6
11Ps4cP1j6nGkJXhJnBfmSFsTH,7,4,3,58.21756902,85.86842092,14.55439225,28.62280697,39.83127643,177.17486289,0,7,4,4,60.0,1.0,544.0,24.0,0.67798579,1.47495717,7,4,3
11U5kmcQm3TyfBfubWskFiaUsk,6,4,2,21.66084023,4.00669734,5.41521006,2.00334867,7.67250755,4.10487963,0,6,3,3,60.0,1.0,2768.6,218.0,5.40615834,0.18497423,6,4,2
