timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,behavior_type,block_height,transaction_size
2024-01-01T09:54:41+00:00,203.0.113.33,203.0.113.158,8333,8333,tx_8708ca0c8f997b76,"[""bc1qbEVm4vhtaijnjz7RmLV4f14rR""]","[""3rjPoUEgcyDRQCp1DVQaD1eLN7""]",[1.01922053],[1.01731281],0.00190772,P2TR,DE,64515,NORMAL,900000,353
2024-01-01T16:12:12+00:00,198.51.100.187,192.0.2.244,8333,22284,tx_ec3c1e9b774d277b,"[""1xq5XZ5dBGhqTvhQFuHT4qU3xM""]","[""11UWB4syv4pWaKET8yKAKJCUr1""]",[0.06328591],[0.06189812],0.00138779,P2SH_P2WPKH,JP,64512,NORMAL,900001,243
2024-01-01T03:59:14+00:00,203.0.113.90,203.0.113.61,8333,46094,tx_4d61eaff8dc0cbbe,"[""1mMeePegvS532woBF7j7YkXMqF""]","[""1y9H8y7pcAJKfEnNEkhwHZYHzw""]",[0.94041976],[0.93946669],0.00095307,P2SH_P2WPKH,ZA,64515,NORMAL,900002,670
2024-01-01T03:15:15+00:00,203.0.113.133,192.0.2.9,8333,21670,tx_215a2690e84247e9,"[""1CvrtuFKrArUSdc4Tgm2cXASh8""]","[""1uu78YftgF5tDUNtvpkSM8kdb9""]",[1.09373356],[1.09178142],0.00195214,P2TR,AU,64518,NORMAL,900003,497
2024-01-01T04:09:32+00:00,198.51.100.14,203.0.113.37,35444,8333,tx_2361ce2ebf831bcc,"[""1Ax9ZMMRqhjS2ZqKY2jnmTc53D""]","[""17DoeYNP9jiG7Kg5zDMYVNgjLm""]",[0.42616031],[0.42552754],0.00063277,P2SH_P2WPKH,SG,64512,NORMAL,900004,337
2024-01-01T05:28:49+00:00,192.0.2.246,192.0.2.88,8333,8333,tx_5cbb0ff7a913831f,"[""bc1qvpMMVJF5D9rre7A7BVWMT8bPr""]","[""1rSxZu1jxbWT4DaQgqYhVq4EJc""]",[1.00094589],[0.99896983],0.00197606,P2TR,DE,64519,NORMAL,900005,443
2024-01-01T15:47:03+00:00,203.0.113.80,198.51.100.70,54569,14711,tx_47ee20cece550f0a,"[""16om9JJXD6PnciKWptYUZSDHCD""]","[""1SCnfzehvmmVgPLNuDnqjtb6qq""]",[1.49498373],[1.49450622],0.00047751,P2WPKH,IN,64516,NORMAL,900006,590
2024-01-01T17:38:42+00:00,198.51.100.29,192.0.2.237,8333,8333,tx_90dbe3f634712735,"[""1L4RnKCJ9dMTFvDJyDCKHmVH6Y""]","[""1mAZRTf9dRUCYhbmiCcBYK9CMv""]",[1.17455261],[1.17385941],0.0006932,P2TR,FR,64517,NORMAL,900007,609
2024-01-01T18:58:19+00:00,192.0.2.207,192.0.2.205,8333,8333,tx_18fa917739b64ad6,"[""1JfiSJyVrxQpeaVTBCw29oGjHp""]","[""3My8CdEet6F4JLvqcqbw6tncdx""]",[0.88018203],[0.8797569],0.00042513,P2PKH,ZA,64513,NORMAL,900008,288
2024-01-01T23:14:11+00:00,192.0.2.191,203.0.113.183,8333,8333,tx_fb156ba376c8dac3,"[""1x6CdfyPVsz1tJV9nTsHwBhtU5""]","[""1H1p8fCepAjVQtCHsmGYCtax3N""]",[0.3975395],[0.39668211],0.00085739,P2SH_P2WPKH,GB,64513,NORMAL,900009,583
2024-01-01T17:23:55+00:00,198.51.100.208,198.51.100.212,51419,8333,tx_15be34a60e8b5e2c,"[""16tgAABXx1M5z49ZtVUjXMLZq8""]","[""bc1qKmj4RRTskMc41pHDgxrxxVvFh""]",[0.56104624],[0.55989398],0.00115226,P2TR,DE,64520,NORMAL,900010,210
2024-01-01T15:50:49+00:00,198.51.100.200,203.0.113.191,8333,8333,tx_29da91f0fe41197f,"[""1iYo8N67SdmkRtTRmX9wNC7LPC""]","[""1FDsZtf2U9GwsQHtSyRs9whCrT""]",[0.50524886],[0.50344907],0.00179979,P2SH_P2WPKH,ZA,64518,NORMAL,900011,429
2024-01-01T23:40:06+00:00,192.0.2.185,192.0.2.69,8333,8333,tx_1003c3be661c455b,"[""1Rd8GTAtJZFMQj4QLuBsdRo3cn""]","[""1W4BdUuoSY2RkUCPECJJVyA3gg""]",[0.52777868],[0.52750325],0.00027543,P2TR,US,64519,NORMAL,900012,511
2024-01-01T23:54:02+00:00,198.51.100.95,198.51.100.198,14916,8333,tx_d3f1f6248bc98119,"[""15jNgMjw8ozLZLjTMSmKc9DTjR""]","[""1j8j55HbEYnpuPzwFVnLQrcKxi""]",[0.54077653],[0.54008597],0.00069056,P2WPKH,IN,64514,NORMAL,900013,636
2024-01-01T01:40:36+00:00,198.51.100.93,192.0.2.103,38049,8333,tx_76a566dcfeca9473,"[""bc1qVWrKrRZaTBuDtf9xH4iXxQc7n""]","[""1QkpkHeRuhQ7kFX2gycMgFi5hu""]",[0.11412188],[0.11349757],0.00062431,P2PKH,BR,64513,NORMAL,900014,458
2024-01-01T08:16:58+00:00,192.0.2.6,203.0.113.127,8333,8333,tx_a7e441ba05b85612,"[""1uRufPRCvrtm18WQDV1Fp2qJkn""]","[""1Dh2gF9ggZ6fdoT2MgGBdhXk6Q""]",[0.51657457],[0.51459673],0.00197784,P2SH_P2WPKH,FR,64515,NORMAL,900015,288
2024-01-01T10:51:06+00:00,203.0.113.220,192.0.2.130,8333,8333,tx_98dda13bfb917c93,"[""1AAfGgjHyUkdnxzhLEyipJTm1T""]","[""1Fv1q2LWkobUbRuFGWPAJDyoq8""]",[0.80071336],[0.79901987],0.00169349,P2TR,JP,64518,NORMAL,900016,244
2024-01-01T11:55:44+00:00,198.51.100.28,198.51.100.161,8333,8333,tx_5ce89e23187346c3,"[""1mpX8JW3bAXAhEMd3frR4tQsUX""]","[""1TBdbNpvYsokfVFqUxuFxubGy8""]",[0.93934734],[0.9383185],0.00102884,P2SH_P2WPKH,DE,64512,NORMAL,900017,255
2024-01-01T15:49:31+00:00,192.0.2.96,203.0.113.163,8333,8333,tx_96ce667d6f88a765,"[""bc1qqhMZbbSFwSYqWKuVBxCSK1bvN""]","[""3YBC5qUkL7xVNhkbuCDr7qFELZ""]",[0.84073839],[0.8390727],0.00166569,P2TR,AU,64514,NORMAL,900018,262
2024-01-01T16:54:31+00:00,203.0.113.188,198.51.100.96,8333,8333,tx_1283cf79648b8152,"[""1zsLg5QVekrPQKUvCGHXv79vtH""]","[""1XxaN5eqR61ThJTCcWndq9DCvR""]",[1.26781696],[1.26688962],0.00092734,P2SH_P2WPKH,AU,64518,NORMAL,900019,489
2024-01-01T14:58:14+00:00,203.0.113.194,198.51.100.40,14793,8333,tx_b8ca7e0c53133c93,"[""bc1qoGBWRJhmcFkMvrr4Fu3tMSJ5E""]","[""1saVrDNLGXxjcpza9T3EFiQgo8""]",[0.16796813],[0.16702131],0.00094682,P2TR,SG,64517,NORMAL,900020,616
2024-01-01T16:50:54+00:00,203.0.113.249,198.51.100.139,8333,8333,tx_a6f9bc1ed5678bcc,"[""bc1qoGBWRJhmcFkMvrr4Fu3tMSJ5E""]","[""32x9sMRxhASQ1UsujzCAeCE72S""]",[1.12671639],[1.12571481],0.00100158,P2SH_P2WPKH,SG,64517,NORMAL,900021,336
2024-01-01T18:54:55+00:00,198.51.100.29,192.0.2.69,8333,8333,tx_c913c92c275534cf,"[""15YwQvES7Ys2T5Yh5EkTRyMhVt""]","[""1xYahMfRgSe8PPwWgCukntLge6""]",[1.18975136],[1.18830553],0.00144583,P2PKH,GB,64514,NORMAL,900022,644
2024-01-01T09:19:30+00:00,198.51.100.94,203.0.113.20,8333,8333,tx_04f4acc751628a67,"[""1Z6TNy4THSD1ku4PnsfFvVWWPS""]","[""1puN5cCXMPEzdJCpkDYpDGpGxH""]",[0.65179339],[0.64981744],0.00197595,P2WPKH,SG,64513,NORMAL,900023,334
2024-01-01T22:39:14+00:00,203.0.113.200,203.0.113.123,14653,8333,tx_2b60e265d0e8cbb3,"[""3mGjuUDXnst7moZgCDwehhAF89""]","[""bc1q2jf7yF767WrZR7fk2ANtKnVkR""]",[0.75389516],[0.75262628],0.00126888,P2PKH,JP,64512,NORMAL,900024,626
2024-01-01T22:50:07+00:00,192.0.2.222,192.0.2.110,65200,64329,tx_1e759ddf3de0aa7f,"[""1CeSQWPrKAukqyYkbTQU6fHy9N""]","[""bc1qPzynxdADrAELC72bfw3r9bP5M""]",[1.16058859],[1.15860188],0.00198671,P2WPKH,FR,64519,NORMAL,900025,498
2024-01-01T09:01:50+00:00,192.0.2.132,192.0.2.234,8333,8333,tx_4d1050c5157f8e35,"[""3p2YsmebohUSk8WXm4SxYGzSar""]","[""1csYbYMiGMWnXZcwpo67Um5R9q""]",[1.38927683],[1.38794832],0.00132851,P2SH_P2WPKH,GB,64512,NORMAL,900026,684
2024-01-01T23:24:14+00:00,198.51.100.184,203.0.113.8,44613,8333,tx_7381ef0ee2f70806,"[""1cGw8W9tWjacfMqzVguozZUvcV""]","[""1ttrUT4MxreZTsqVbVJLxB9YnN""]",[0.88304145],[0.88278957],0.00025188,P2SH_P2WPKH,GB,64519,NORMAL,900027,467
2024-01-01T18:59:35+00:00,192.0.2.88,198.51.100.27,52001,8333,tx_83b64f50f1e23212,"[""1CvrtuFKrArUSdc4Tgm2cXASh8""]","[""1v8aALBBMnFPazKw6HDhcJ9hLg""]",[0.47573236],[0.4737339],0.00199846,P2PKH,AU,64518,NORMAL,900028,376
2024-01-01T13:57:47+00:00,203.0.113.95,198.51.100.236,8333,8333,tx_3088d239f32e7d5f,"[""1xYahMfRgSe8PPwWgCukntLge6""]","[""3ccpDtEgZVwJ75GBMoXoeX3rjR""]",[0.05748249],[0.05635974],0.00112275,P2SH_P2WPKH,IN,64514,NORMAL,900029,213
