timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,behavior_type,block_height,transaction_size
2024-01-01T02:38:21+00:00,192.0.2.21,198.51.100.230,8333,8333,tx_147449883e3f2195,"[""bc1qm2wyqdRX1PLqRwzvTbppbtfzF""]","[""bc1q6JVjUYfVTJEqZ8PU8KkkeYajL""]",[0.30927714],[0.30735854],0.0019186,P2PKH,AU,64515,NORMAL,900000,211
2024-01-01T10:44:38+00:00,198.51.100.73,198.51.100.245,19717,8333,tx_8f3da69e84ea4393,"[""bc1qfDAQqBbra1fMY28QyvtLG4Gyd""]","[""1yHCeH37fUPosMUfZ8RzdDH3nU""]",[0.29122646],[0.2893744],0.00185206,P2SH_P2WPKH,CA,64513,NORMAL,900001,390
2024-01-01T21:08:41+00:00,203.0.113.187,198.51.100.87,10161,8333,tx_c6094b56e7565a35,"[""3cK5RZVqcJugkg897SQsNcQqAD""]","[""1yHCeH37fUPosMUfZ8RzdDH3nU""]",[1.04926312],[1.04778642],0.0014767,P2TR,SG,64520,NORMAL,900002,546
2024-01-01T13:03:05+00:00,203.0.113.23,192.0.2.187,8333,8333,tx_8e0f639b33981aae,"[""bc1qtGnBLc1cT6Fv8W8ivAYnKZnJT""]","[""3NP1CxAdjS5Aph26paERTWNBQL""]",[1.33731707],[1.33582109],0.00149598,P2TR,AU,64519,NORMAL,900003,289
2024-01-01T09:49:33+00:00,203.0.113.121,192.0.2.168,8333,43280,tx_48e5fb2575b33c0f,"[""1rSxZu1jxbWT4DaQgqYhVq4EJc""]","[""1gozfNvd3ux263irdHiErdTgh2""]",[1.01557452],[1.01496353],0.00061099,P2PKH,GB,64516,NORMAL,900004,274
2024-01-01T03:42:22+00:00,203.0.113.83,198.51.100.212,8333,8333,tx_d78cdea9535e84f3,"[""12AwfksV395GriQQRd3fAkVQQV""]","[""1DA23GXgwr5WTyhdDnmRYSGAim""]",[1.27524258],[1.27363282],0.00160976,P2SH_P2WPKH,CA,64514,NORMAL,900005,607
2024-01-01T01:18:55+00:00,192.0.2.220,203.0.113.37,8333,28864,tx_dd00f5ace255f1cd,"[""bc1qHBpVcnUc185ymzAb3vQecAU93""]","[""bc1qft8sds3PbUjQ5ZiN1wTuY7UQh""]",[1.04766838],[1.04701889],0.00064949,P2PKH,NL,64517,NORMAL,900006,586
2024-01-01T21:19:14+00:00,192.0.2.184,192.0.2.247,8333,7491,tx_e953bc49d6383817,"[""1qtBmUNJAEqN76R7PwPfHt3oWb""]","[""1BCvmrgtzBoV3TQkoGVgKqpsVF""]",[0.45869235],[0.45688411],0.00180824,P2TR,CA,64518,NORMAL,900007,256
2024-01-01T10:51:16+00:00,192.0.2.230,198.51.100.241,33244,8333,tx_7922659692e8dd29,"[""bc1qyrcoxEUVyFTNuWSTo7MUMjHQA""]","[""bc1qm2wyqdRX1PLqRwzvTbppbtfzF""]",[1.03474011],[1.03434048],0.00039963,P2SH_P2WPKH,IN,64519,NORMAL,900008,629
2024-01-01T18:22:57+00:00,192.0.2.8,192.0.2.189,8333,26100,tx_84688bbf3f97e369,"[""bc1qtbrXWUuoeJMwGv6JyVGqWdgjR""]","[""1v8aALBBMnFPazKw6HDhcJ9hLg""]",[0.12663601],[0.12645296],0.00018305,P2PKH,FR,64512,NORMAL,900009,396
2024-01-01T04:15:46+00:00,198.51.100.169,203.0.113.176,8333,8333,tx_75575b1113cc3d4f,"[""bc1q2RxX3hRQHp2Ps5PGojh7repqN""]","[""1NtXaWAfzZ9MgMBSgpvLeNZvZb""]",[0.83211896],[0.83115281],0.00096615,P2TR,GB,64512,NORMAL,900010,249
2024-01-01T01:00:04+00:00,192.0.2.118,203.0.113.222,8333,8333,tx_9c032b361cd42c97,"[""bc1qVWrKrRZaTBuDtf9xH4iXxQc7n""]","[""1NcqbRWMxDmGdRFwrT3MpXntRR""]",[0.66258591],[0.66153213],0.00105378,P2TR,BR,64513,NORMAL,900011,303
2024-01-01T07:55:22+00:00,203.0.113.211,198.51.100.130,8333,8333,tx_3774c0723f2161de,"[""bc1qksCBC6gxRgkGYeAFWhHWHj1zt""]","[""177jUPUTWxo4kii74SoNtx7GDD""]",[1.21598373],[1.21508955],0.00089418,P2SH_P2WPKH,AU,64516,NORMAL,900012,277
2024-01-01T07:16:37+00:00,198.51.100.119,198.51.100.144,14261,8333,tx_e1dd29c1d446170e,"[""bc1qoGBWRJhmcFkMvrr4Fu3tMSJ5E""]","[""1GLjeQXcaPUpcNPmWJLHF8oDM8""]",[1.487375],[1.48650206],0.00087294,P2TR,SG,64517,NORMAL,900013,682
2024-01-01T04:10:54+00:00,198.51.100.113,198.51.100.66,8333,8333,tx_5d186a623c130f84,"[""1cGw8W9tWjacfMqzVguozZUvcV""]","[""bc1qEWmHrQBffpn8ruBL7e2LdkRSn""]",[1.3012049],[1.30104585],0.00015905,P2TR,GB,64519,NORMAL,900014,358
2024-01-01T23:45:31+00:00,198.51.100.222,192.0.2.211,61742,48038,tx_34cdf1e7489e2f43,"[""1pTa8p5XVrQZe7VZFg3osxjaLW""]","[""1iWAH9GpcbHpeUzeSQF9ZY6q4x""]",[1.18021219],[1.17920339],0.0010088,P2SH_P2WPKH,IN,64512,NORMAL,900015,521
2024-01-01T07:31:55+00:00,198.51.100.47,198.51.100.225,8333,8333,tx_789d1002396e7003,"[""1Gx5Vtxwc74ibv16qwGBTYXExS""]","[""1k7YnV5z6MfA59JghecnMRfaKW""]",[0.59711404],[0.59543642],0.00167762,P2PKH,US,64514,NORMAL,900016,567
2024-01-01T07:11:47+00:00,198.51.100.203,192.0.2.8,8333,25248,tx_5ba26365ebf2f948,"[""1k7YnV5z6MfA59JghecnMRfaKW""]","[""bc1qYhGJV5nKGJNMzb69AFRmAnE5T""]",[0.47077979],[0.47021928],0.00056051,P2SH_P2WPKH,BR,64518,NORMAL,900017,441
2024-01-01T05:06:28+00:00,203.0.113.136,198.51.100.37,33740,55733,tx_fb92f87d9b85989d,"[""3KUmoscjnYADKE4epb4pM44eXZ""]","[""1DfZpy9x5JrswTNsZJu1KoLvee""]",[0.42758872],[0.42692784],0.00066088,P2PKH,BR,64514,NORMAL,900018,317
2024-01-01T05:41:54+00:00,192.0.2.53,198.51.100.47,37936,39406,tx_c8982a4b84e0b34b,"[""bc1qHBpVcnUc185ymzAb3vQecAU93""]","[""bc1qksCBC6gxRgkGYeAFWhHWHj1zt""]",[1.26068281],[1.25917043],0.00151238,P2SH_P2WPKH,NL,64517,NORMAL,900019,214
2024-01-01T02:53:09+00:00,198.51.100.24,198.51.100.66,6869,8333,tx_6927c75f77cb481e,"[""1vXmv9qnXVg1z62HEvAcofaU8r""]","[""1pCYaRc8HrHnVEgKmYD89w5VCz""]",[0.30811566],[0.30618381],0.00193185,P2TR,NL,64515,NORMAL,900020,428
2024-01-01T18:20:53+00:00,203.0.113.135,192.0.2.75,20710,8333,tx_ad8ff6bc7348824f,"[""1BCvmrgtzBoV3TQkoGVgKqpsVF""]","[""1v8aALBBMnFPazKw6HDhcJ9hLg""]",[0.7289178],[0.72871339],0.00020441,P2PKH,BR,64515,NORMAL,900021,593
2024-01-01T08:00:07+00:00,203.0.113.252,203.0.113.67,8333,8333,tx_a0a09e170c38e97a,"[""bc1qYhGJV5nKGJNMzb69AFRmAnE5T""]","[""1Gx5Vtxwc74ibv16qwGBTYXExS""]",[1.3138429],[1.31358556],0.00025734,P2PKH,JP,64517,NORMAL,900022,617
2024-01-01T04:33:37+00:00,203.0.113.180,198.51.100.247,8333,8333,tx_a74c279d9587af30,"[""1DA23GXgwr5WTyhdDnmRYSGAim""]","[""15jNgMjw8ozLZLjTMSmKc9DTjR""]",[0.75331791],[0.75322964],8.827e-05,P2PKH,US,64513,NORMAL,900023,470
2024-01-01T17:24:28+00:00,192.0.2.130,192.0.2.151,8333,44078,tx_79310ba525ffbc47,"[""bc1qksCBC6gxRgkGYeAFWhHWHj1zt""]","[""1XFw7PwcQ8qJdFtUwcruggkic2""]",[1.36815172],[1.36744037],0.00071135,P2TR,AU,64516,NORMAL,900024,251
2024-01-01T04:28:33+00:00,192.0.2.144,192.0.2.125,8333,8333,tx_89de54ed087a1943,"[""bc1q9gy65LSnoXaTrTud59Mi5VWka""]","[""bc1qtbrXWUuoeJMwGv6JyVGqWdgjR""]",[0.4238421],[0.42312847],0.00071363,P2WPKH,FR,64514,NORMAL,900025,562
